,team,opponent,goals,total_score,total_count,rank_difference,home
22465,Singapore,Qatar,1,125.33333333333331,8,76.83333333333333,0
13424,Angola,Benin,3,499.25,6,-36.41666666666667,1
6788,Georgia,Ukraine,0,518.5,1,26.499999999999996,1
14076,Austria,Turkey,2,362.91666666666674,9,78.25,1
20318,Falkland Islands,Shetland,0,0.0,0,0.0,1
725,Lebanon,Jordan,1,11.0,0,21.60000000000001,1
1276,Malta,Scotland,0,19.0,4,56.6,1
7219,Burkina Faso,Burundi,0,500.5,8,-59.66666666666667,0
4384,Scotland,Denmark,0,49.4,5,17.6,1
18423,Belize,Guatemala,0,199.0,0,43.66666666666667,0
17005,Basque Country,Tunisia,0,0.0,1,-55.25,1
16004,Georgia,Armenia,2,491.41666666666674,4,6.500000000000008,0
14524,England,Andorra,6,1128.5,4,-189.3333333333333,1
659,Republic of Ireland,Wales,2,54.6,7,-18.4,1
8044,Brazil,Costa Rica,5,825.4545454545455,10,-24.454545454545453,0
8825,Estonia,Croatia,0,524.25,7,39.0,1
8987,Zimbabwe,South Africa,1,544.3333333333334,5,22.33333333333333,0
10850,Cuba,United States,1,551.25,3,70.75,0
8304,Paraguay,Spain,0,680.9090909090909,8,11.545454545454547,0
19341,Italy,Uruguay,0,1097.0,10,3.333333333333334,1
22592,Uruguay,Poland,0,1065.8333333333333,5,6.0,0
6361,Guyana,Trinidad and Tobago,0,104.25,1,142.33333333333331,1
24869,Zambia,Malawi,1,1275.0,5,-34.375,1
16537,France,Albania,2,909.1666666666665,6,-47.75,0
4740,Kuwait,Lebanon,0,47.7,10,-57.7,1
12414,Tunisia,Seychelles,4,671.3333333333334,12,-104.66666666666666,1
25266,Moldova,Israel,1,948.6666666666665,5,91.33333333333331,1
4084,Albania,Germany,3,22.5,3,115.6,0
7279,Burundi,Angola,1,302.75,7,78.25,0
4853,Syria,Sudan,3,30.6,4,-16.5,0
22810,Cyprus,Montenegro,0,848.25,4,44.16666666666666,1
18166,Gambia,Mauritania,0,179.16666666666663,2,-18.916666666666686,1
15239,Croatia,Austria,1,1040.0,5,-46.36363636363636,0
20197,Scotland,Republic of Ireland,1,741.75,4,-19.5,0
23192,Georgia,Kazakhstan,2,820.0,5,-26.75,0
3272,Tanzania,Uganda,0,30.5,5,-9.200000000000003,1
8865,Niger,Ethiopia,0,164.75,1,38.41666666666666,0
20834,Nepal,Sri Lanka,0,58.0,0,1.0,1
18435,Venezuela,Uruguay,0,676.5,4,26.75,1
19973,Maldives,Tajikistan,0,147.33333333333334,5,9.75,1
5147,Grenada,Curaçao,3,269.9166666666667,1,122.75,0
20503,Senegal,South Africa,0,729.9166666666665,7,-27.75000000000001,0
22648,Maldives,Palestine,1,173.33333333333337,3,42.41666666666666,0
21041,Albania,Luxembourg,2,682.3333333333334,3,-99.25,0
22618,Northern Ireland,Switzerland,0,847.5,7,17.916666666666664,0
22806,Austria,Slovenia,3,1200.25,5,-35.916666666666664,1
8880,Turkey,France,2,735.4166666666665,10,5.25,0
24339,Lebanon,Oman,0,1270.625,5,3.375,0
7466,France,Chile,1,806.1666666666665,8,-30.16666666666667,0
11756,Nigeria,Niger,2,976.0909090909092,3,-154.63636363636363,1
5488,Norway,Slovenia,4,695.1666666666665,5,-52.58333333333334,1
12899,Liechtenstein,Iceland,3,172.83333333333337,4,42.5,1
12701,Bangladesh,Kyrgyzstan,0,64.25,7,168.33333333333334,1
5566,Chad,Central African Republic,1,66.66666666666667,1,-13.0,0
22690,Burundi,Ethiopia,4,216.41666666666663,1,8.833333333333329,1
18799,Japan,Belarus,0,725.0,3,-37.74999999999999,0
16647,China PR,Jordan,1,444.66666666666674,5,-14.0,0
4421,Iran,Jamaica,1,0.0,9,-31.1,1
5920,Gambia,Mauritania,0,198.5,1,-6.5833333333333135,1
13037,Togo,United Arab Emirates,5,468.5,10,-29.0,0
9911,Portugal,England,2,699.9166666666665,8,5.833333333333332,1
9403,Oman,Saudi Arabia,1,551.8333333333334,8,32.583333333333336,1
