,Pre
5839,0.6235497190469044
24577,0.9446773227910565
6528,1.0441708617783452
18124,0.9815278583208902
24882,1.5078160087490227
20160,0.913489891180244
24382,0.6964556944453528
14946,0.8783423766762176
9928,1.6274164047889315
23441,1.6151749260135062
8786,1.0227508996117947
11073,1.6859053895514562
20821,1.6797115293808014
21150,1.5613546549631636
21966,1.0261623659905315
7172,1.1461878782599284
9829,2.0482966249254972
14871,1.7972672262378733
9854,2.28997365687053
18969,0.8490407513173082
7495,1.541366699298656
1163,1.3213150356223307
3466,1.2524002395059441
23675,1.0436021820002461
9801,2.8363565759487424
14402,1.1905561861104585
4087,1.516379578827848
5585,1.4102532210055168
1596,1.2533915297657994
2008,1.0958293040844667
10026,1.1891957962458233
15061,0.8581515762660555
22160,1.3707078626002223
15871,1.2876609634109257
25163,1.0692048549467348
17893,1.2187402312483266
16026,1.2108246134905458
2975,0.8782090494461849
11559,1.2347366896311427
12246,0.7251397463815766
2210,1.3348601110439646
1931,1.1948417848200463
13321,3.6239726588246306
21701,0.9422927918268579
12450,0.8287009947289772
18069,0.9944891970421786
12425,0.7251397463815766
20395,2.5549215132398313
9478,1.7275403425586007
12209,1.3182267860379997
20610,1.7547955599814962
3377,0.7829612916340285
1409,0.9709584491178145
13000,1.1144463035345307
3423,1.1648660053365707
18098,0.8082932129999205
22465,0.8231302140874998
13424,1.565666385923199
6788,1.154182564855187
14076,0.8357928089816138
20318,1.2599859963305728
725,1.1231761115129921
1276,0.9195464963193194
7219,1.7628764618068309
4384,1.1285671120132599
18423,1.0197002614630777
17005,1.6773979405642738
16004,1.2569710958111522
14524,3.7759805752272877
659,1.354476795392358
8044,1.4955384850676638
8825,1.0524598023637606
8987,1.1629842626085782
10850,0.9059921117632806
8304,1.2284597483399204
19341,1.3339343394505876
22592,1.3355509549793336
6361,0.5996407767894372
24869,1.6853734214140383
16537,1.740180699505981
4740,1.6513527196684674
12414,2.2385996927799665
25266,0.842633551418565
4084,0.6765068606977669
7279,0.8373804015179196
4853,1.3532766060510826
22810,1.0729069522808148
18166,1.407403494117127
15239,1.7524600730955495
20197,1.4875002456680984
23192,1.5496687798078679
3272,1.2988034001249225
8865,1.0445690515758919
20834,1.2608892035684587
18435,1.1529174299998424
19973,1.189204084798694
5147,0.6743374212892591
20503,1.5310000035766103
22648,1.0153455556933217
21041,2.251883504848303
22618,1.2158064000358868
22806,1.6901043558530366
8880,1.2714741698843528
24339,1.3859058617534525
7466,1.5531383099119256
11756,3.1193111093032644
5488,1.7547163995908877
12899,1.01124316484401
12701,0.5081236538835938
5566,1.3533263356416534
22690,1.2237061882428717
18799,1.6394501670477606
16647,1.3919476140049452
4421,1.4307890138883212
5920,1.3290224709285319
13037,1.4799091627387888
9911,1.2704632306983892
9403,1.0850562962101653
1527,0.9555545202290725
21886,1.7668631555563374
6601,1.9336385583703686
17471,2.478574282383117
8247,2.1773285111530423
18151,1.5123555794574073
5876,0.8361413206206408
17113,1.908843872424987
17901,1.2985335740245783
24799,1.3669010090705718
9519,1.9411590621738979
6464,1.0405624259316522
24843,1.157547795887622
24163,1.2392575559049783
1644,1.2707601424772825
6906,1.0305548859702323
12783,1.057276656489298
18502,1.1763016597844598
16575,0.9878930240460186
3670,2.765596493426724
19797,1.3367198089613628
11645,1.3345526482681624
20406,1.4069293536130625
24223,1.287071105829036
16825,1.3881931461487484
17795,1.660193567684884
20761,0.8203349667567845
13459,0.8628631309834284
