,home_team,away_team,Goals,Ranking_home_team,Ranking_away_team
8531,North Macedonia,Poland,-3,89.58333333333333,30.5
8532,Benin,Ghana,1,130.58333333333334,69.83333333333333
8533,Costa Rica,Nicaragua,1,18.75,174.0
8534,Honduras,El Salvador,-1,41.5,88.66666666666667
8535,China PR,Estonia,1,71.16666666666667,64.91666666666667
8536,Gambia,Nigeria,-1,140.5,30.666666666666668
8537,Panama,Guatemala,2,123.41666666666667,67.75
8538,Qatar,Sweden,-1,72.91666666666667,20.166666666666668
8539,Thailand,North Korea,0,61.75,0.0
8540,Guatemala,Nicaragua,5,67.75,174.0
8541,North Korea,Sweden,0,0.0,20.166666666666668
8542,Panama,Honduras,0,123.41666666666667,41.5
8543,Thailand,Qatar,0,61.75,72.91666666666667
8544,Costa Rica,Honduras,1,18.75,41.5
8545,El Salvador,Guatemala,-2,88.66666666666667,67.75
8546,North Korea,Qatar,0,0.0,72.91666666666667
8547,Thailand,Sweden,-3,61.75,20.166666666666668
8548,Panama,Nicaragua,-1,123.41666666666667,174.0
8549,Hong Kong,Chinese Taipei,2,139.25,159.58333333333334
8550,North Korea,Sweden,-4,0.0,20.166666666666668
8551,Macau,Mongolia,2,185.58333333333334,185.08333333333334
8552,Madagascar,Mauritius,2,108.33333333333333,128.5
8553,Malawi,DR Congo,0,101.25,0.0
8554,Thailand,Qatar,3,61.75,72.91666666666667
8555,Guatemala,Honduras,2,67.75,41.5
8556,Malawi,DR Congo,-1,101.25,0.0
8557,Panama,Costa Rica,-1,123.41666666666667,18.75
8558,Peru,Haiti,5,76.08333333333333,82.0
8559,Hong Kong,Macau,3,139.25,185.58333333333334
8560,Mongolia,Guam,2,185.08333333333334,200.83333333333334
8561,Guam,Macau,-2,200.83333333333334,185.58333333333334
8562,Guam,Chinese Taipei,-7,200.83333333333334,159.58333333333334
8563,Hong Kong,Mongolia,10,139.25,185.08333333333334
8564,Hong Kong,Guam,11,139.25,200.83333333333334
8565,Macau,Chinese Taipei,-1,185.58333333333334,159.58333333333334
8566,Singapore,Maldives,4,100.5,148.66666666666666
8567,Sudan,DR Congo,-2,109.08333333333333,0.0
8568,Israel,Moldova,0,44.583333333333336,108.5
8569,Benin,Niger,0,130.58333333333334,173.41666666666666
8570,Botswana,Lesotho,-1,124.5,124.75
8571,DR Congo,Congo,3,0.0,104.66666666666667
8572,Cuba,Jamaica,0,62.75,47.916666666666664
8573,Tanzania,Uganda,0,156.5,104.41666666666667
8574,Cuba,Jamaica,1,62.75,47.916666666666664
8575,Martinique,French Guiana,2,0.0,0.0
8576,Guadeloupe,French Guiana,0,0.0,0.0
8577,Kenya,Uganda,0,76.58333333333333,104.41666666666667
8578,Rwanda,Burundi,4,115.66666666666667,138.25
8579,Kyrgyzstan,Afghanistan,-1,0.0,199.0
8580,Lesotho,DR Congo,0,124.75,0.0
8581,Zimbabwe,Malawi,0,54.416666666666664,101.25
8582,Nepal,Afghanistan,4,163.08333333333334,199.0
8583,Egypt,Qatar,6,38.916666666666664,72.91666666666667
8584,Mexico,Bolivia,2,7.416666666666667,101.66666666666667
8585,Eswatini,Lesotho,1,0.0,124.75
8586,Nepal,Kyrgyzstan,-2,163.08333333333334,0.0
8587,Macau,Pakistan,-3,185.58333333333334,163.0
8588,Maldives,Brunei,0,148.66666666666666,0.0
8589,Sri Lanka,East Timor,3,139.16666666666666,0.0
8590,Mozambique,Lesotho,0,129.5,124.75
8591,Rwanda,Zambia,0,115.66666666666667,68.08333333333333
8592,Benin,Equatorial Guinea,2,130.58333333333334,180.5
8593,Burma,Brunei,5,0.0,0.0
8594,Jamaica,Barbados,2,47.916666666666664,100.58333333333333
8595,Kenya,Tanzania,4,76.58333333333333,156.5
8596,Singapore,Macau,2,100.5,185.58333333333334
8597,North Korea,India,2,0.0,127.75
8598,Rwanda,Zambia,-3,115.66666666666667,68.08333333333333
8599,Hong Kong,Laos,5,139.25,164.25
8600,Maldives,Burma,-2,148.66666666666666,0.0
8601,Singapore,Pakistan,3,100.5,163.0
8602,Sri Lanka,Chinese Taipei,2,139.16666666666666,159.58333333333334
8603,Austria,Greece,0,58.25,36.916666666666664
8604,Burundi,Burkina Faso,0,138.25,74.5
8605,Guadeloupe,Cuba,-1,0.0,62.75
8606,Haiti,Martinique,2,82.0,0.0
8607,Jamaica,Saint Lucia,5,47.916666666666664,0.0
8608,Mexico,Paraguay,0,7.416666666666667,20.25
8609,Trinidad and Tobago,Antigua and Barbuda,2,55.666666666666664,160.33333333333334
8610,Cameroon,Madagascar,2,15.083333333333334,108.33333333333333
8611,Laos,Bangladesh,2,164.25,147.0
8612,Serbia,Bulgaria,-1,0.0,38.166666666666664
8613,Tunisia,Ghana,0,43.0,69.83333333333333
8614,Cuba,Antigua and Barbuda,2,62.75,160.33333333333334
8615,Jamaica,Martinique,0,47.916666666666664,0.0
8616,Japan,Uruguay,0,24.666666666666668,25.333333333333332
8617,Saint Lucia,Haiti,2,0.0,82.0
8618,Trinidad and Tobago,Guadeloupe,1,55.666666666666664,0.0
8619,Albania,Russia,3,91.25,27.0
8620,Angola,Algeria,0,81.25,66.25
8621,Armenia,Northern Ireland,1,109.75,111.91666666666667
8622,Belarus,Moldova,2,81.08333333333333,108.5
8623,Bosnia and Herzegovina,Luxembourg,2,71.91666666666667,152.33333333333334
8624,Cape Verde,Togo,2,0.0,90.0
8625,Costa Rica,Paraguay,2,18.75,20.25
8626,Croatia,Belgium,4,25.916666666666668,16.416666666666668
8627,Cyprus,Israel,0,87.41666666666667,44.583333333333336
8628,Estonia,Canada,2,64.91666666666667,77.58333333333333
8629,France,Malta,6,2.1666666666666665,128.0
8630,Gabon,Equatorial Guinea,4,119.0,180.5
8631,Georgia,Republic of Ireland,-1,89.33333333333333,14.333333333333334
8632,Germany,Lithuania,0,6.916666666666667,98.75
8633,Italy,Finland,2,11.833333333333334,42.833333333333336
8634,Kenya,Mauritania,4,76.58333333333333,176.25
8635,South Korea,Colombia,0,0.0,33.083333333333336
8636,Liechtenstein,England,-2,147.83333333333334,7.75
8637,North Macedonia,Slovakia,-2,89.58333333333333,53.833333333333336
8638,Malawi,Nigeria,-1,101.25,30.666666666666668
8639,Mauritius,Egypt,-1,128.5,38.916666666666664
8640,Netherlands,Czech Republic,0,5.333333333333333,11.666666666666666
8641,Poland,Hungary,0,30.5,57.083333333333336
8642,Portugal,Brazil,2,14.75,1.0
8643,Romania,Denmark,-3,23.5,12.416666666666666
8644,Rwanda,Uganda,0,115.66666666666667,104.41666666666667
8645,Scotland,Iceland,2,58.416666666666664,59.666666666666664
8646,Sierra Leone,Morocco,0,136.83333333333334,36.416666666666664
8647,South Africa,Madagascar,2,32.083333333333336,108.33333333333333
8648,Sudan,Benin,3,109.08333333333333,130.58333333333334
8649,Tanzania,Zambia,-1,156.5,68.08333333333333
8650,Ukraine,Spain,0,48.416666666666664,2.75
8651,United States,Venezuela,2,0.0,63.25
8652,Wales,Azerbaijan,4,53.916666666666664,114.75
8653,Burundi,Ivory Coast,-1,138.25,0.0
8654,Chad,Namibia,2,163.33333333333334,133.75
8655,Chile,Peru,2,72.41666666666667,76.08333333333333
8656,Eritrea,Mali,-2,157.16666666666666,68.41666666666667
8657,Ethiopia,Liberia,1,135.0,99.25
8658,Gambia,Senegal,0,140.5,29.166666666666668
8659,Ghana,Madagascar,0,69.83333333333333,108.33333333333333
8660,Guadeloupe,Antigua and Barbuda,2,0.0,160.33333333333334
8661,Guinea,Niger,2,113.33333333333333,173.41666666666666
8662,Hong Kong,Bangladesh,0,139.25,147.0
8663,India,North Korea,0,127.75,0.0
8664,Jamaica,Haiti,3,47.916666666666664,82.0
8665,Libya,Botswana,0,91.5,124.5
8666,Mozambique,Burkina Faso,1,129.5,74.5
8667,Saint Lucia,Martinique,-1,0.0,0.0
8668,Eswatini,DR Congo,0,0.0,0.0
8669,Trinidad and Tobago,Cuba,-2,55.666666666666664,62.75
8670,Tunisia,Cameroon,1,43.0,15.083333333333334
8671,Zimbabwe,Seychelles,3,54.416666666666664,177.0
8672,Albania,Republic of Ireland,0,91.25,14.333333333333334
8673,Belarus,Uzbekistan,0,81.08333333333333,101.5
8674,Croatia,Andorra,2,25.916666666666668,141.16666666666666
8675,Czech Republic,Austria,4,11.666666666666666,58.25
8676,Denmark,Bosnia and Herzegovina,-2,12.416666666666666,71.91666666666667
8677,England,Turkey,2,7.75,7.416666666666667
8678,Estonia,Bulgaria,0,64.91666666666667,38.166666666666664
8679,Georgia,Switzerland,0,89.33333333333333,42.166666666666664
8680,Honduras,Paraguay,0,41.5,20.25
8681,Hungary,Sweden,-1,57.083333333333336,20.166666666666668
8682,Israel,France,-1,44.583333333333336,2.1666666666666665
8683,Lithuania,Scotland,1,98.75,58.416666666666664
8684,Luxembourg,Norway,-2,152.33333333333334,27.833333333333332
8685,North Macedonia,Portugal,-1,89.58333333333333,14.75
8686,Moldova,Netherlands,-1,108.5,5.333333333333333
8687,Northern Ireland,Greece,-2,111.91666666666667,36.916666666666664
8688,Peru,Chile,3,76.08333333333333,72.41666666666667
8689,Poland,San Marino,5,30.5,160.75
8690,Slovakia,Liechtenstein,4,53.833333333333336,147.83333333333334
8691,Slovenia,Cyprus,4,32.416666666666664,87.41666666666667
8692,Spain,Armenia,3,2.75,109.75
8693,Ukraine,Latvia,1,48.416666666666664,73.16666666666667
8694,Venezuela,Jamaica,2,63.25,47.916666666666664
8695,South Korea,Japan,-1,0.0,24.666666666666668
8696,Zimbabwe,Angola,1,54.416666666666664,81.25
8697,Bhutan,Guam,6,193.58333333333334,200.83333333333334
8698,Martinique,Trinidad and Tobago,3,0.0,55.666666666666664
8699,Algeria,Madagascar,3,66.25,108.33333333333333
8700,Guam,Mongolia,-5,200.83333333333334,185.08333333333334
8701,Trinidad and Tobago,Honduras,-2,55.666666666666664,41.5
8702,Bhutan,Mongolia,0,193.58333333333334,185.08333333333334
8703,Faroe Islands,Kazakhstan,3,119.58333333333333,126.66666666666667
8704,Madagascar,Mali,-2,108.33333333333333,68.41666666666667
8705,Martinique,Honduras,-2,0.0,41.5
8706,Faroe Islands,Kazakhstan,2,119.58333333333333,126.66666666666667
8707,Andorra,Estonia,-2,141.16666666666666,64.91666666666667
8708,Belgium,Poland,3,16.416666666666668,30.5
8709,Bulgaria,Albania,2,38.166666666666664,91.25
8710,Chile,Costa Rica,1,72.41666666666667,18.75
8711,Czech Republic,Turkey,4,11.666666666666666,7.416666666666667
8712,Denmark,Ukraine,1,12.416666666666666,48.416666666666664
8713,Finland,Iceland,3,42.833333333333336,59.666666666666664
8714,France,Egypt,5,2.1666666666666665,38.916666666666664
8715,Georgia,Russia,1,89.33333333333333,27.0
8716,Germany,Serbia,1,6.916666666666667,0.0
8717,Honduras,Colombia,0,41.5,33.083333333333336
8718,Hungary,Luxembourg,5,57.083333333333336,152.33333333333334
8719,Republic of Ireland,Norway,1,14.333333333333334,27.833333333333332
8720,Israel,Cyprus,2,44.583333333333336,87.41666666666667
8721,Latvia,San Marino,3,73.16666666666667,160.75
8722,Libya,Argentina,-2,91.5,4.75
8723,Liechtenstein,Saudi Arabia,1,147.83333333333334,39.083333333333336
8724,Lithuania,Romania,-1,98.75,23.5
8725,Malta,Slovenia,-2,128.0,32.416666666666664
8726,Mexico,Brazil,0,7.416666666666667,1.0
8727,Morocco,Ivory Coast,-1,36.416666666666664,0.0
8728,Netherlands,Portugal,0,5.333333333333333,14.75
8729,Peru,Paraguay,-1,76.08333333333333,20.25
8730,Scotland,Austria,-2,58.416666666666664,58.25
8731,Slovakia,Greece,0,53.833333333333336,36.916666666666664
8732,South Africa,Jamaica,0,32.083333333333336,47.916666666666664
8733,Spain,Ecuador,4,2.75,34.083333333333336
8734,Sweden,Croatia,-1,20.166666666666668,25.916666666666668
8735,Switzerland,Italy,-1,42.166666666666664,11.833333333333334
8736,Tunisia,Senegal,1,43.0,29.166666666666668
8737,Uzbekistan,Belarus,-1,101.5,81.08333333333333
8738,Venezuela,Trinidad and Tobago,3,63.25,55.666666666666664
8739,Fiji,Tuvalu,9,143.66666666666666,0.0
8740,Congo,Central African Republic,2,104.66666666666667,178.66666666666666
8741,Guernsey,Jersey,0,0.0,0.0
8742,United States,Mexico,0,0.0,7.416666666666667
8743,Lesotho,Botswana,-1,124.75,124.5
8744,Malawi,Zambia,-1,101.25,68.08333333333333
8745,Jersey,Guernsey,1,0.0,0.0
8746,Lesotho,Malawi,0,124.75,101.25
8747,Uganda,Sudan,0,104.41666666666667,109.08333333333333
8748,Norway,Finland,2,27.833333333333332,42.833333333333336
8749,South Africa,England,-1,32.083333333333336,7.75
8750,Botswana,Malawi,0,124.5,101.25
8751,Sudan,Kenya,0,109.08333333333333,76.58333333333333
8752,Jamaica,Nigeria,3,47.916666666666664,30.666666666666668
8753,Lesotho,Eswatini,2,124.75,0.0
8754,Togo,Benin,3,90.0,130.58333333333334
8755,United States,Wales,2,0.0,53.916666666666664
8756,Scotland,New Zealand,0,58.416666666666664,62.0
8757,Algeria,Burkina Faso,-1,66.25,74.5
8758,Nigeria,Ghana,3,30.666666666666668,69.83333333333333
8759,Gabon,Angola,0,119.0,81.25
8760,Gambia,Mauritania,4,140.5,176.25
8761,Japan,South Korea,-1,24.666666666666668,0.0
8762,Kenya,Trinidad and Tobago,0,76.58333333333333,55.666666666666664
8763,Senegal,Cape Verde,2,29.166666666666668,0.0
8764,Uganda,Tanzania,1,104.41666666666667,156.5
8765,Germany,Canada,4,6.916666666666667,77.58333333333333
8766,England,Serbia,2,7.75,0.0
8767,Guadeloupe,French Guiana,1,0.0,0.0
8768,Italy,Northern Ireland,2,11.833333333333334,111.91666666666667
8769,Uganda,Libya,3,104.41666666666667,91.5
8770,Mauritania,Kenya,0,176.25,76.58333333333333
8771,Poland,Kazakhstan,3,30.5,126.66666666666667
8772,Portugal,Paraguay,0,14.75,20.25
8773,Belarus,Netherlands,-2,81.08333333333333,5.333333333333333
8774,Botswana,Libya,-1,124.5,91.5
8775,Bulgaria,Belgium,0,38.166666666666664,16.416666666666668
8776,Burkina Faso,Mozambique,4,74.5,129.5
8777,Denmark,Norway,1,12.416666666666666,27.833333333333332
8778,Estonia,Andorra,2,64.91666666666667,141.16666666666666
8779,Finland,Serbia,3,42.833333333333336,0.0
8780,Hungary,Latvia,3,57.083333333333336,73.16666666666667
8781,Iceland,Faroe Islands,2,59.666666666666664,119.58333333333333
8782,Republic of Ireland,Albania,2,14.333333333333334,91.25
8783,Israel,Slovenia,0,44.583333333333336,32.416666666666664
8784,North Macedonia,Liechtenstein,3,89.58333333333333,147.83333333333334
8785,Mali,Eritrea,1,68.41666666666667,157.16666666666666
8786,Malta,Cyprus,-1,128.0,87.41666666666667
8787,Moldova,Austria,1,108.5,58.25
8788,Namibia,Chad,2,133.75,163.33333333333334
8789,Niger,Guinea,1,173.41666666666666,113.33333333333333
8790,Nigeria,Malawi,4,30.666666666666668,101.25
8791,Romania,Bosnia and Herzegovina,2,23.5,71.91666666666667
8792,San Marino,Sweden,-6,160.75,20.166666666666668
8793,Scotland,Germany,0,58.416666666666664,6.916666666666667
8794,Senegal,Gambia,3,29.166666666666668,140.5
8795,Seychelles,Zimbabwe,2,177.0,54.416666666666664
8796,Slovakia,Turkey,-1,53.833333333333336,7.416666666666667
8797,Spain,Greece,-1,2.75,36.916666666666664
8798,Switzerland,Russia,0,42.166666666666664,27.0
8799,Uganda,Rwanda,-1,104.41666666666667,115.66666666666667
8800,Ukraine,Armenia,4,48.416666666666664,109.75
8801,Venezuela,Honduras,2,63.25,41.5
8802,Zambia,Tanzania,2,68.08333333333333,156.5
8803,Benin,Sudan,3,130.58333333333334,109.08333333333333
8804,Central African Republic,Congo,0,178.66666666666666,104.66666666666667
8805,Colombia,Ecuador,0,33.083333333333336,34.083333333333336
8806,DR Congo,Eswatini,2,0.0,0.0
8807,Costa Rica,Chile,1,18.75,72.41666666666667
8808,Egypt,Mauritius,7,38.916666666666664,128.5
8809,Equatorial Guinea,Gabon,2,180.5,119.0
8810,Ivory Coast,Burundi,6,0.0,138.25
8811,Japan,Argentina,-3,24.666666666666668,4.75
8812,South Korea,Uruguay,-2,0.0,25.333333333333332
8813,Liberia,Ethiopia,1,99.25,135.0
8814,Morocco,Sierra Leone,1,36.416666666666664,136.83333333333334
8815,Togo,Cape Verde,5,90.0,0.0
8816,United States,New Zealand,2,0.0,62.0
8817,Botswana,Trinidad and Tobago,0,124.5,55.666666666666664
8818,Portugal,Bolivia,4,14.75,101.66666666666667
8819,Austria,Belarus,5,58.25,81.08333333333333
8820,Azerbaijan,Serbia,2,114.75,0.0
8821,Belgium,Andorra,3,16.416666666666668,141.16666666666666
8822,Czech Republic,Moldova,5,11.666666666666666,108.5
8823,Ecuador,Peru,0,34.083333333333336,76.08333333333333
8824,England,Slovakia,2,7.75,53.833333333333336
8825,Estonia,Croatia,-1,64.91666666666667,25.916666666666668
8826,Faroe Islands,Germany,-2,119.58333333333333,6.916666666666667
8827,Finland,Italy,-2,42.833333333333336,11.833333333333334
8828,Greece,Ukraine,1,36.916666666666664,48.416666666666664
8829,Honduras,Chile,-1,41.5,72.41666666666667
8830,Republic of Ireland,Georgia,2,14.333333333333334,89.33333333333333
8831,Japan,Paraguay,0,24.666666666666668,20.25
8832,South Korea,Argentina,-1,0.0,4.75
8833,Lithuania,Iceland,-3,98.75,59.666666666666664
8834,Luxembourg,Denmark,-2,152.33333333333334,12.416666666666666
8835,Nigeria,Brazil,-3,30.666666666666668,1.0
8836,Northern Ireland,Spain,0,111.91666666666667,2.75
8837,Norway,Romania,0,27.833333333333332,23.5
8838,San Marino,Hungary,-5,160.75,57.083333333333336
8839,Sweden,Poland,3,20.166666666666668,30.5
8840,Switzerland,Albania,3,42.166666666666664,91.25
8841,Turkey,North Macedonia,3,7.416666666666667,89.58333333333333
8842,Andorra,Gabon,-2,141.16666666666666,119.0
8843,Ghana,Kenya,-2,69.83333333333333,76.58333333333333
8844,Papua New Guinea,Solomon Islands,-2,168.5,150.5
8845,Senegal,Lesotho,3,29.166666666666668,124.75
8846,South Africa,Trinidad and Tobago,2,32.083333333333336,55.666666666666664
8847,France,Colombia,1,2.1666666666666665,33.083333333333336
8848,New Zealand,Japan,-3,62.0,24.666666666666668
8849,Brazil,Cameroon,-1,1.0,15.083333333333334
8850,Turkey,United States,2,7.416666666666667,0.0
8851,Algeria,Namibia,1,66.25,133.75
8852,Colombia,New Zealand,3,33.083333333333336,62.0
8853,Egypt,Madagascar,6,38.916666666666664,108.33333333333333
8854,France,Japan,2,2.1666666666666665,24.666666666666668
8855,Morocco,Gabon,2,36.416666666666664,119.0
8856,Brazil,United States,1,1.0,0.0
8857,Burkina Faso,Congo,3,74.5,104.66666666666667
8858,Cameroon,Turkey,1,15.083333333333334,7.416666666666667
8859,Cape Verde,Mauritania,3,0.0,176.25
8860,Eritrea,Seychelles,1,157.16666666666666,177.0
8861,Liberia,Guinea,-1,99.25,113.33333333333333
8862,Nigeria,Angola,0,30.666666666666668,81.25
8863,Zambia,Sudan,0,68.08333333333333,109.08333333333333
8864,DR Congo,Libya,2,0.0,91.5
8865,Ethiopia,Niger,2,135.0,173.41666666666666
8866,France,New Zealand,5,2.1666666666666665,62.0
8867,Ghana,Uganda,0,69.83333333333333,104.41666666666667
8868,Guatemala,Honduras,-1,67.75,41.5
8869,Japan,Colombia,-1,24.666666666666668,33.083333333333336
8870,Mali,Zimbabwe,0,68.41666666666667,54.416666666666664
8871,Mozambique,Central African Republic,1,129.5,178.66666666666666
8872,Sierra Leone,Equatorial Guinea,2,136.83333333333334,180.5
8873,South Africa,Ivory Coast,2,32.083333333333336,0.0
8874,Eswatini,Botswana,3,0.0,124.5
8875,Tanzania,Benin,-1,156.5,130.58333333333334
8876,Togo,Kenya,2,90.0,76.58333333333333
8877,Brazil,Turkey,0,1.0,7.416666666666667
8878,United States,Cameroon,0,0.0,15.083333333333334
8879,Cameroon,Colombia,1,15.083333333333334,33.083333333333336
8880,France,Turkey,3,2.1666666666666665,7.416666666666667
8881,Peru,Venezuela,1,76.08333333333333,63.25
8882,Panama,Cuba,2,123.41666666666667,62.75
8883,Colombia,Turkey,-1,33.083333333333336,7.416666666666667
8884,France,Cameroon,1,2.1666666666666665,15.083333333333334
8885,Honduras,El Salvador,0,41.5,88.66666666666667
8886,Panama,Cuba,1,123.41666666666667,62.75
8887,Saare County,Ynys Môn,-2,0.0,0.0
8888,Frøya,Jersey,-4,0.0,0.0
8889,Shetland,Gotland,0,0.0,0.0
8890,Guernsey,Alderney,7,0.0,0.0
8891,Gibraltar,Sark,19,0.0,0.0
8892,Isle of Wight,Greenland,-1,0.0,0.0
8893,Fiji,Vanuatu,0,143.66666666666666,158.41666666666666
8894,Papua New Guinea,New Caledonia,-2,168.5,0.0
8895,Tahiti,Micronesia,17,123.75,0.0
8896,Tuvalu,Kiribati,3,0.0,0.0
8897,Isle of Man,Saare County,4,0.0,0.0
8898,Gotland,Frøya,0,0.0,0.0
8899,Jersey,Shetland,5,0.0,0.0
8900,Guernsey,Orkney,10,0.0,0.0
8901,Sark,Isle of Wight,-20,0.0,0.0
8902,Gibraltar,Greenland,2,0.0,0.0
8903,Fiji,Tuvalu,4,143.66666666666666,0.0
8904,Micronesia,New Caledonia,-18,0.0,0.0
8905,Papua New Guinea,Tonga,0,168.5,180.0
8906,Solomon Islands,Vanuatu,0,150.5,158.41666666666666
8907,Ynys Môn,Isle of Man,-1,0.0,0.0
8908,Shetland,Frøya,3,0.0,0.0
8909,Jersey,Gotland,0,0.0,0.0
8910,Orkney,Alderney,3,0.0,0.0
8911,Isle of Wight,Gibraltar,2,0.0,0.0
8912,Greenland,Sark,16,0.0,0.0
8913,El Salvador,Paraguay,-1,88.66666666666667,20.25
8914,Guatemala,Peru,-1,67.75,76.08333333333333
8915,Estonia,Lithuania,-4,64.91666666666667,98.75
8916,Solomon Islands,Kiribati,7,150.5,0.0
8917,Tahiti,Papua New Guinea,3,123.75,168.5
8918,Tonga,New Caledonia,-4,180.0,0.0
8919,Trinidad and Tobago,Venezuela,0,55.666666666666664,63.25
8920,Tuvalu,Vanuatu,-1,0.0,158.41666666666666
8921,Frøya,Sark,15,0.0,0.0
8922,Alderney,Greenland,-3,0.0,0.0
8923,Gotland,Saare County,3,0.0,0.0
8924,Orkney,Gibraltar,-6,0.0,0.0
8925,Isle of Man,Jersey,2,0.0,0.0
8926,Guernsey,Isle of Wight,3,0.0,0.0
8927,Latvia,Lithuania,2,73.16666666666667,98.75
8928,Saare County,Alderney,-1,0.0,0.0
8929,Gotland,Greenland,2,0.0,0.0
8930,Orkney,Shetland,-6,0.0,0.0
8931,Gibraltar,Ynys Môn,-2,0.0,0.0
8932,Jersey,Isle of Wight,3,0.0,0.0
8933,Guernsey,Isle of Man,3,0.0,0.0
8934,Botswana,DR Congo,0,124.5,0.0
8935,Estonia,Latvia,0,64.91666666666667,73.16666666666667
8936,Fiji,Kiribati,12,143.66666666666666,0.0
8937,Kenya,Cape Verde,1,76.58333333333333,0.0
8938,Libya,Eswatini,6,91.5,0.0
8939,Mauritania,Togo,0,176.25,90.0
8940,Niger,Liberia,1,173.41666666666666,99.25
8941,Seychelles,Mali,-2,177.0,68.41666666666667
8942,Tahiti,New Caledonia,-4,123.75,0.0
8943,Tonga,Micronesia,7,180.0,0.0
8944,Tuvalu,Solomon Islands,-4,0.0,150.5
8945,Zimbabwe,Eritrea,2,54.416666666666664,157.16666666666666
8946,Angola,Malawi,5,81.25,101.25
8947,Benin,Zambia,3,130.58333333333334,68.08333333333333
8948,Burundi,South Africa,-2,138.25,32.083333333333336
8949,Central African Republic,Burkina Faso,-3,178.66666666666666,74.5
8950,Chad,Algeria,0,163.33333333333334,66.25
8951,Congo,Mozambique,0,104.66666666666667,129.5
8952,El Salvador,Mexico,2,88.66666666666667,7.416666666666667
8953,Equatorial Guinea,Morocco,-1,180.5,36.416666666666664
8954,Gabon,Sierra Leone,2,119.0,136.83333333333334
8955,Guinea,Ethiopia,3,113.33333333333333,135.0
8956,Jamaica,Cuba,-1,47.916666666666664,62.75
8957,Lesotho,Gambia,1,124.75,140.5
8958,Madagascar,Mauritius,-2,108.33333333333333,128.5
8959,Rwanda,Ghana,1,115.66666666666667,69.83333333333333
8960,United States,Paraguay,2,0.0,20.25
8961,Fiji,Solomon Islands,2,143.66666666666666,150.5
8962,Kiribati,Vanuatu,-18,0.0,158.41666666666666
8963,Papua New Guinea,Micronesia,10,168.5,0.0
8964,Tahiti,Tonga,4,123.75,180.0
8965,El Salvador,Guatemala,-1,88.66666666666667,67.75
8966,Fiji,Tahiti,2,143.66666666666666,123.75
8967,Jamaica,Paraguay,2,47.916666666666664,20.25
8968,New Caledonia,Vanuatu,0,0.0,158.41666666666666
8969,Fiji,New Caledonia,2,143.66666666666666,0.0
8970,Tahiti,Vanuatu,-1,123.75,158.41666666666666
8971,Costa Rica,Canada,-1,18.75,77.58333333333333
8972,United States,El Salvador,2,0.0,88.66666666666667
8973,Jamaica,Colombia,-1,47.916666666666664,33.083333333333336
8974,Mexico,Brazil,1,7.416666666666667,1.0
8975,Eswatini,Madagascar,2,0.0,108.33333333333333
8976,Canada,Cuba,-2,77.58333333333333,62.75
8977,United States,Martinique,2,0.0,0.0
8978,Brazil,Honduras,2,1.0,41.5
8979,Guatemala,Jamaica,-2,67.75,47.916666666666664
8980,Argentina,Uruguay,0,4.75,25.333333333333332
8981,Cuba,Costa Rica,-3,62.75,18.75
8982,El Salvador,Martinique,1,88.66666666666667,0.0
8983,Colombia,Guatemala,0,33.083333333333336,67.75
8984,Mexico,Honduras,0,7.416666666666667,41.5
8985,Colombia,Brazil,-2,33.083333333333336,1.0
8986,Costa Rica,El Salvador,5,18.75,88.66666666666667
8987,South Africa,Zimbabwe,-1,32.083333333333336,54.416666666666664
8988,United States,Cuba,5,0.0,62.75
8989,Mexico,Jamaica,5,7.416666666666667,47.916666666666664
8990,United States,Brazil,-1,0.0,1.0
8991,Mexico,Costa Rica,2,7.416666666666667,18.75
8992,Peru,Uruguay,-1,76.08333333333333,25.333333333333332
8993,Nigeria,Venezuela,1,30.666666666666668,63.25
8994,United States,Costa Rica,3,0.0,18.75
8995,Mexico,Brazil,1,7.416666666666667,1.0
8996,Saint Kitts and Nevis,Haiti,1,0.0,82.0
8997,Uruguay,Peru,1,25.333333333333332,76.08333333333333
8998,Haiti,Trinidad and Tobago,2,82.0,55.666666666666664
8999,Saint Kitts and Nevis,Trinidad and Tobago,-1,0.0,55.666666666666664
9000,Singapore,Hong Kong,4,100.5,139.25
9001,Iran,Iraq,-1,0.0,56.416666666666664
9002,Iraq,Uruguay,-3,56.416666666666664,25.333333333333332
9003,Malawi,Zambia,0,101.25,68.08333333333333
9004,Mayotte,Réunion,0,0.0,0.0
9005,Republic of Ireland,Australia,2,14.333333333333334,59.666666666666664
9006,Luxembourg,Malta,0,152.33333333333334,128.0
9007,Angola,DR Congo,-2,81.25,0.0
9008,Argentina,Uruguay,3,4.75,25.333333333333332
9009,Austria,Costa Rica,2,58.25,18.75
9010,Belarus,Iran,2,81.08333333333333,0.0
9011,Belgium,Netherlands,0,16.416666666666668,5.333333333333333
9012,Bulgaria,Lithuania,3,38.166666666666664,98.75
9013,China PR,Chile,0,71.16666666666667,72.41666666666667
9014,Colombia,Slovakia,0,33.083333333333336,53.833333333333336
9015,Denmark,Finland,0,12.416666666666666,42.833333333333336
9016,Ecuador,Guatemala,2,34.083333333333336,67.75
9017,England,Croatia,3,7.75,25.916666666666668
9018,Estonia,Poland,-1,64.91666666666667,30.5
9019,Faroe Islands,Iceland,-1,119.58333333333333,59.666666666666664
9020,Germany,Italy,-1,6.916666666666667,11.833333333333334
9021,Japan,Nigeria,3,24.666666666666668,30.666666666666668
