,home_team,away_team,Goals,Ranking_home_team,Ranking_away_team
106,Austria,Wales,0,34.0,28.0
107,Denmark,Norway,1,9.0,14.0
108,El Salvador,Costa Rica,0,50.0,37.0
109,Republic of Ireland,United States,4,6.0,0.0
110,Russia,England,0,8.0,5.0
111,Ukraine,Hungary,-2,129.0,36.0
112,Uruguay,Brazil,1,16.0,3.0
113,Anguilla,Cuba,-3,0.0,144.0
114,French Guiana,Guyana,0,0.0,128.0
115,Romania,Faroe Islands,7,11.0,94.0
116,Sweden,Poland,5,4.0,20.0
117,Aruba,French Guiana,-2,160.0,0.0
118,Congo,Haiti,4,90.0,130.0
119,Congo,Guadeloupe,0,90.0,0.0
120,Cuba,Anguilla,5,144.0,0.0
121,Suriname,French Guiana,3,95.0,0.0
122,Iran,Pakistan,7,0.0,145.0
123,Hungary,England,-1,36.0,5.0
124,Greece,Iceland,1,31.0,46.0
125,Norway,Faroe Islands,2,14.0,94.0
126,Finland,Bulgaria,-3,44.0,26.0
127,Kuwait,Syria,0,71.0,96.0
128,United Arab Emirates,Qatar,1,59.0,52.0
129,India,Iran,-3,143.0,0.0
130,England,Brazil,0,5.0,3.0
131,Qatar,Kuwait,0,52.0,71.0
132,United Arab Emirates,Syria,2,59.0,96.0
133,United States,Scotland,-1,0.0,23.0
134,Austria,Poland,-2,34.0,20.0
135,Bahrain,Algeria,0,88.0,30.0
136,Canada,Scotland,-2,57.0,23.0
137,Moldova,Lithuania,0,0.0,93.0
138,Romania,Wales,5,11.0,28.0
139,United Arab Emirates,Syria,0,59.0,96.0
140,Jamaica,Puerto Rico,2,67.0,122.0
141,Guatemala,Ecuador,0,83.0,65.0
142,Haiti,Bermuda,2,130.0,58.0
143,Suriname,Guyana,0,95.0,128.0
144,Ethiopia,Sudan,5,85.0,111.0
145,Republic of Ireland,Albania,2,6.0,86.0
146,Malta,Latvia,1,73.0,99.0
147,Costa Rica,Ecuador,2,37.0,65.0
148,Netherlands,Austria,3,7.0,34.0
149,Poland,Czechoslovakia,1,20.0,18.0
150,Sweden,Hungary,2,4.0,36.0
151,Switzerland,France,2,12.0,19.0
152,Qatar,Syria,4,52.0,96.0
153,Germany,Turkey,1,1.0,42.0
154,Netherlands,Wales,4,7.0,28.0
155,Puerto Rico,Jamaica,-1,122.0,67.0
156,United States,Republic of Ireland,3,0.0,6.0
157,Italy,Portugal,0,2.0,33.0
158,Qatar,Oman,4,52.0,116.0
159,Trinidad and Tobago,Barbados,3,62.0,114.0
160,Kazakhstan,Turkmenistan,1,0.0,0.0
161,Germany,Northern Ireland,0,1.0,43.0
162,Albania,Lithuania,1,86.0,93.0
163,Argentina,Wales,1,10.0,28.0
164,Denmark,Russia,0,9.0,8.0
165,Estonia,Slovenia,0,132.0,131.0
166,Faroe Islands,Belgium,-3,94.0,17.0
167,Finland,England,-1,44.0,5.0
168,Hungary,Iceland,-1,36.0,46.0
169,North Korea,Chinese Taipei,6,0.0,156.0
170,Macau,Hong Kong,0,0.0,119.0
171,Norway,Scotland,0,14.0,23.0
172,United States,Portugal,1,0.0,33.0
173,Republic of Ireland,Italy,-2,6.0,2.0
174,France,Netherlands,0,19.0,7.0
175,Hong Kong,Chinese Taipei,0,119.0,156.0
176,North Korea,Macau,2,0.0,0.0
177,United States,Italy,0,0.0,2.0
178,Guatemala,Nicaragua,7,83.0,154.0
179,Republic of Ireland,Portugal,2,6.0,33.0
180,Japan,Wales,-1,66.0,28.0
181,North Korea,Hong Kong,0,0.0,119.0
182,Macau,Chinese Taipei,2,0.0,156.0
183,New Zealand,Fiji,3,70.0,106.0
184,Sweden,France,0,4.0,19.0
185,Denmark,England,0,9.0,5.0
186,Netherlands,Scotland,1,7.0,23.0
187,Russia,Germany,0,8.0,1.0
188,Canada,Hong Kong,3,57.0,119.0
189,United States,Australia,-1,0.0,45.0
190,Antigua and Barbuda,Bermuda,-3,109.0,58.0
191,France,England,0,19.0,5.0
192,Gabon,Togo,1,55.0,101.0
193,Guinea-Bissau,Cape Verde,3,117.0,0.0
194,Lesotho,Botswana,0,142.0,139.0
195,Sweden,Denmark,1,4.0,9.0
196,Netherlands,Russia,0,7.0,8.0
197,Scotland,Germany,-2,23.0,1.0
198,Faroe Islands,Cyprus,-2,94.0,72.0
199,France,Denmark,-1,19.0,9.0
200,Sweden,England,2,4.0,5.0
201,Tajikistan,Uzbekistan,0,0.0,0.0
202,Argentina,Australia,2,10.0,45.0
203,Netherlands,Germany,3,7.0,1.0
204,Scotland,Russia,3,23.0,8.0
205,Antigua and Barbuda,Suriname,0,109.0,95.0
206,South Korea,Bangladesh,6,0.0,133.0
207,Guadeloupe,Jamaica,-1,0.0,67.0
208,Mozambique,Eswatini,4,107.0,0.0
209,Antigua and Barbuda,Martinique,-3,109.0,0.0
210,Gabon,Burundi,-1,55.0,100.0
211,Sweden,Germany,-1,4.0,1.0
212,Thailand,South Korea,2,75.0,0.0
213,Uruguay,Australia,2,16.0,45.0
214,Cuba,Jamaica,0,144.0,67.0
215,Netherlands,Denmark,0,7.0,9.0
216,Thailand,Bangladesh,1,75.0,133.0
217,Jamaica,Martinique,1,67.0,0.0
218,Trinidad and Tobago,Cuba,1,62.0,144.0
219,Denmark,Germany,2,9.0,1.0
220,Sudan,Eritrea,0,111.0,0.0
221,Cuba,Martinique,0,144.0,0.0
222,Trinidad and Tobago,Jamaica,3,62.0,67.0
223,United States,Ukraine,0,0.0,129.0
224,Vanuatu,New Zealand,-3,159.0,70.0
225,Botswana,Lesotho,-4,139.0,142.0
226,Cape Verde,Guinea-Bissau,1,0.0,117.0
227,Chad,Eritrea,-1,155.0,0.0
228,China PR,Slovakia,-1,56.0,0.0
229,Honduras,Panama,4,40.0,120.0
230,Uzbekistan,Turkmenistan,2,0.0,0.0
231,Honduras,Panama,4,40.0,120.0
232,Sudan,Chad,1,111.0,155.0
233,New Zealand,Vanuatu,8,70.0,159.0
234,Kazakhstan,Libya,1,0.0,137.0
235,Bermuda,Antigua and Barbuda,2,58.0,109.0
236,Uruguay,Ecuador,3,16.0,65.0
237,Australia,Croatia,1,45.0,113.0
238,Guatemala,Poland,0,83.0,20.0
239,Guinea-Bissau,Cape Verde,1,117.0,0.0
240,Trinidad and Tobago,Jamaica,-1,62.0,67.0
241,Malawi,Zimbabwe,0,53.0,54.0
242,South Africa,Cameroon,1,124.0,22.0
243,Australia,Croatia,3,45.0,113.0
244,Malawi,Zimbabwe,0,53.0,54.0
245,South Africa,Cameroon,-1,124.0,22.0
246,Latvia,Estonia,2,99.0,132.0
247,Estonia,Lithuania,0,132.0,93.0
248,South Africa,Cameroon,0,124.0,22.0
249,Turkmenistan,Tajikistan,0,0.0,0.0
250,Australia,Croatia,0,45.0,113.0
251,Latvia,Lithuania,-1,99.0,93.0
252,New Caledonia,Tahiti,-1,0.0,123.0
253,Kazakhstan,Uzbekistan,1,0.0,0.0
254,Solomon Islands,Tahiti,0,136.0,123.0
255,Guatemala,Honduras,0,83.0,40.0
256,Nicaragua,El Salvador,-5,154.0,50.0
257,Vanuatu,Tahiti,-1,159.0,123.0
258,Cameroon,Egypt,-1,22.0,21.0
259,New Caledonia,Tahiti,-1,0.0,123.0
260,El Salvador,Nicaragua,5,50.0,154.0
261,Fiji,Solomon Islands,2,106.0,136.0
262,Vanuatu,New Caledonia,-1,159.0,0.0
263,El Salvador,Mexico,-1,50.0,25.0
264,Honduras,Guatemala,2,40.0,83.0
265,Ivory Coast,Egypt,2,0.0,21.0
266,Vanuatu,Solomon Islands,-2,159.0,136.0
267,Fiji,New Caledonia,0,106.0,0.0
268,Ivory Coast,Egypt,0,0.0,21.0
269,New Caledonia,Solomon Islands,1,0.0,136.0
270,Vanuatu,Fiji,-2,159.0,106.0
271,Brazil,Mexico,5,3.0,25.0
272,United States,Colombia,-1,0.0,35.0
273,Lesotho,Namibia,2,142.0,158.0
274,Lesotho,Namibia,0,142.0,158.0
275,Mexico,Colombia,0,25.0,35.0
276,Uruguay,Costa Rica,2,16.0,37.0
277,United States,Brazil,-1,0.0,3.0
278,Faroe Islands,Israel,0,94.0,64.0
279,Ecuador,Costa Rica,0,65.0,37.0
280,Indonesia,Malaysia,0,108.0,91.0
281,Lesotho,Mauritius,1,142.0,112.0
282,Iceland,Israel,-2,46.0,64.0
283,Lesotho,Mauritius,0,142.0,112.0
284,Libya,Niger,0,137.0,81.0
285,Australia,Malaysia,-1,45.0,91.0
286,El Salvador,Honduras,-3,50.0,40.0
287,Latvia,Lithuania,-1,99.0,93.0
288,Libya,Mali,-1,137.0,69.0
