Year,team,away_goals_conceded,away_score,away_games,home_score,home_goals_conceded,home_games,hs_mean,as_mean,as_conceded_mean,hs_conceded_mean,H_AttackS,A_AttackS,H_DefenseS,A_DefenseS
1893,Northern Ireland,12,2,2,0.0,0.0,0.0,4.6,2.4,4.6,2.4,,0.4166666666666667,,1.3043478260869565
1893,Scotland,5,10,2,6.0,1.0,1.0,4.6,2.4,4.6,2.4,1.3043478260869565,2.0833333333333335,0.4166666666666667,0.5434782608695653
1893,Wales,6,0,1,0.0,8.0,1.0,4.6,2.4,4.6,2.4,0.0,0.0,3.3333333333333335,1.3043478260869565
1894,England,5,9,3,0.0,0.0,0.0,2.5,2.3333333333333335,2.5,2.3333333333333335,,1.2857142857142856,,0.6666666666666667
1894,Northern Ireland,4,1,1,3.0,4.0,2.0,2.5,2.3333333333333335,2.5,2.3333333333333335,0.6,0.42857142857142855,0.8571428571428571,1.6
1894,Scotland,1,2,1,7.0,4.0,2.0,2.5,2.3333333333333335,2.5,2.3333333333333335,1.4,0.8571428571428571,0.8571428571428571,0.4
1894,Wales,5,2,1,5.0,6.0,2.0,2.5,2.3333333333333335,2.5,2.3333333333333335,1.0,0.8571428571428571,1.2857142857142856,2.0
1895,Northern Ireland,12,1,2,2.0,2.0,1.0,3.3333333333333335,1.0,3.3333333333333335,1.0,0.6,0.5,2.0,1.7999999999999998
1895,Scotland,5,2,2,3.0,1.0,1.0,3.3333333333333335,1.0,3.3333333333333335,1.0,0.8999999999999999,1.0,1.0,0.75
1895,Wales,3,3,2,2.0,2.0,1.0,3.3333333333333335,1.0,3.3333333333333335,1.0,0.6,1.5,2.0,0.44999999999999996
1896,England,3,12,3,0.0,0.0,0.0,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.6666666666666665,,1.5,,0.375
1896,Northern Ireland,6,1,1,3.0,5.0,2.0,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.6666666666666665,0.5625,0.375,0.9375,2.25
1896,Scotland,3,3,1,6.0,1.0,2.0,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.6666666666666665,1.125,1.125,0.1875,1.125
1896,Wales,4,0,1,7.0,10.0,2.0,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.6666666666666665,1.3125,0.0,1.875,1.5
1897,Northern Ireland,11,1,2,4.0,3.0,1.0,3.6666666666666665,1.3333333333333333,3.6666666666666665,1.3333333333333333,1.090909090909091,0.375,2.25,1.5
1897,Scotland,3,4,2,5.0,1.0,1.0,3.6666666666666665,1.3333333333333333,3.6666666666666665,1.3333333333333333,1.3636363636363638,1.5,0.75,0.4090909090909091
1897,Wales,8,3,2,2.0,2.0,1.0,3.6666666666666665,1.3333333333333333,3.6666666666666665,1.3333333333333333,0.5454545454545455,1.125,1.5,1.090909090909091
1898,England,3,9,3,0.0,0.0,0.0,1.3333333333333333,2.5,1.3333333333333333,2.5,,1.2,,0.75
1898,Northern Ireland,0,1,1,2.0,6.0,2.0,1.3333333333333333,2.5,1.3333333333333333,2.5,0.75,0.4,1.2,0.0
1898,Scotland,0,3,1,6.0,5.0,2.0,1.3333333333333333,2.5,1.3333333333333333,2.5,2.25,1.2,1.0,0.0
1898,Wales,5,2,1,0.0,4.0,2.0,1.3333333333333333,2.5,1.3333333333333333,2.5,0.0,0.8,0.8,3.75
1899,Northern Ireland,22,3,2,1.0,0.0,1.0,4.833333333333333,1.6666666666666667,4.833333333333333,1.6666666666666667,0.20689655172413796,0.8999999999999999,0.0,2.2758620689655173
1899,Scotland,2,7,2,9.0,1.0,1.0,4.833333333333333,1.6666666666666667,4.833333333333333,1.6666666666666667,1.8620689655172415,2.1,0.6,0.20689655172413796
1899,Wales,5,0,2,0.0,6.0,1.0,4.833333333333333,1.6666666666666667,4.833333333333333,1.6666666666666667,0.0,0.0,3.5999999999999996,0.5172413793103449
1900,England,5,4,3,0.0,0.0,0.0,2.0,1.5,2.0,1.5,,0.8888888888888888,,0.8333333333333334
1900,Northern Ireland,2,0,1,0.0,5.0,2.0,2.0,1.5,2.0,1.5,0.0,0.0,1.6666666666666667,1.0
1900,Scotland,0,3,1,9.0,3.0,2.0,2.0,1.5,2.0,1.5,2.25,2.0,1.0,0.0
1900,Wales,5,2,1,3.0,1.0,2.0,2.0,1.5,2.0,1.5,0.75,1.3333333333333333,0.3333333333333333,2.5
1901,Northern Ireland,14,0,2,0.0,1.0,1.0,3.8333333333333335,0.6666666666666666,3.8333333333333335,0.6666666666666666,0.0,0.0,1.5,1.826086956521739
1901,Scotland,3,3,2,11.0,0.0,1.0,3.8333333333333335,0.6666666666666666,3.8333333333333335,0.6666666666666666,2.869565217391304,2.25,0.0,0.3913043478260869
1901,Wales,6,1,2,1.0,1.0,1.0,3.8333333333333335,0.6666666666666666,3.8333333333333335,0.6666666666666666,0.2608695652173913,0.75,1.5,0.7826086956521738
1902,Argentina,0,6,1,0.0,0.0,0.0,1.625,2.25,1.625,2.25,,2.6666666666666665,,0.0
1902,England,0,1,2,2.0,2.0,1.0,1.625,2.25,1.625,2.25,1.2307692307692308,0.2222222222222222,0.8888888888888888,0.0
1902,Hungary,5,0,1,0.0,0.0,0.0,1.625,2.25,1.625,2.25,,0.0,,3.076923076923077
1902,Northern Ireland,0,3,1,1.0,6.0,2.0,1.625,2.25,1.625,2.25,0.3076923076923077,1.3333333333333333,1.3333333333333333,0.0
1902,Scotland,3,7,2,5.0,1.0,1.0,1.625,2.25,1.625,2.25,3.076923076923077,1.5555555555555556,0.4444444444444444,0.9230769230769231
1902,Wales,5,1,1,0.0,3.0,2.0,1.625,2.25,1.625,2.25,0.0,0.4444444444444444,0.6666666666666666,3.076923076923077
1903,Austria,3,2,1,4.0,2.0,1.0,2.0,1.4,2.0,1.4,2.0,1.4285714285714286,1.4285714285714286,1.5
1903,Czechoslovakia,2,1,1,0.0,0.0,0.0,2.0,1.4,2.0,1.4,,0.7142857142857143,,1.0
1903,Hungary,4,2,1,5.0,3.0,2.0,2.0,1.4,2.0,1.4,1.25,1.4285714285714286,1.0714285714285714,2.0
1903,Northern Ireland,4,2,2,2.0,0.0,1.0,2.0,1.4,2.0,1.4,1.0,0.7142857142857143,0.0,1.0
1903,Scotland,1,3,2,0.0,2.0,1.0,2.0,1.4,2.0,1.4,0.0,1.0714285714285714,1.4285714285714286,0.25
1903,Uruguay,2,3,1,0.0,0.0,0.0,2.0,1.4,2.0,1.4,,2.142857142857143,,1.0
1903,Wales,4,1,2,0.0,1.0,1.0,2.0,1.4,2.0,1.4,0.0,0.35714285714285715,0.7142857142857143,1.0
1904,Austria,3,0,1,5.0,4.0,1.0,1.7777777777777777,1.7777777777777777,1.7777777777777777,1.7777777777777777,2.8125,0.0,2.25,1.6875
1904,England,3,6,3,0.0,0.0,0.0,1.7777777777777777,1.7777777777777777,1.7777777777777777,1.7777777777777777,,1.125,,0.5625
1904,France,3,3,1,0.0,0.0,0.0,1.7777777777777777,1.7777777777777777,1.7777777777777777,1.7777777777777777,,1.6875,,1.6875
1904,Hungary,5,4,1,3.0,0.0,1.0,1.7777777777777777,1.7777777777777777,1.7777777777777777,1.7777777777777777,1.6875,2.25,0.0,2.8125
1904,Northern Ireland,0,1,1,2.0,4.0,2.0,1.7777777777777777,1.7777777777777777,1.7777777777777777,1.7777777777777777,0.5625,0.5625,1.125,0.0
1904,Scotland,1,1,1,1.0,2.0,2.0,1.7777777777777777,1.7777777777777777,1.7777777777777777,1.7777777777777777,0.28125,0.5625,0.5625,0.5625
1904,Wales,1,1,1,2.0,3.0,2.0,1.7777777777777777,1.7777777777777777,1.7777777777777777,1.7777777777777777,0.5625,0.5625,0.84375,0.5625
1905,Austria,0,0,1,0.0,0.0,0.0,2.25,0.75,2.25,0.75,,0.0,,0.0
1905,Belgium,4,0,1,8.0,4.0,2.0,2.25,0.75,2.25,0.75,1.7777777777777777,0.0,2.6666666666666665,1.7777777777777777
1905,France,7,0,1,1.0,0.0,1.0,2.25,0.75,2.25,0.75,0.4444444444444444,0.0,0.0,3.111111111111111
1905,Netherlands,1,4,1,4.0,0.0,1.0,2.25,0.75,2.25,0.75,1.7777777777777777,5.333333333333333,0.0,0.4444444444444444
1905,Northern Ireland,5,1,2,2.0,2.0,1.0,2.25,0.75,2.25,0.75,0.8888888888888888,0.6666666666666666,2.6666666666666665,1.1111111111111112
1905,Scotland,4,1,2,4.0,0.0,1.0,2.25,0.75,2.25,0.75,1.7777777777777777,0.6666666666666666,0.0,0.8888888888888888
1905,Switzerland,1,0,1,0.0,0.0,0.0,2.25,0.75,2.25,0.75,,0.0,,0.4444444444444444
