home_team,away_team,home_goals,away_goals,Ranking_home_team,Ranking_away_team,Total_Score_home_team,Total_Score_away_team,Total_count_home_team,Total_count_away_team,Year,tournament,HomeTeamRank_Difference,AwayTeamRank_Difference
Cyprus,France,1,2,82.27272727,1.818181818,484.4545455,794,5,6,2002,UEFA Euro qualification,80.45454545,-80.45454545
England,Portugal,1,1,8.909090909,7.727272727,717.2727273,724.2727273,7,4,2002,Friendly,1.181818182,-1.181818182
Faroe Islands,Scotland,2,2,117.6363636,55.54545455,371.4545455,548.8181818,4,2,2002,UEFA Euro qualification,62.09090909,-62.09090909
Finland,Wales,0,2,43.27272727,83.81818182,590.2727273,470.4545455,3,3,2002,UEFA Euro qualification,-40.54545455,40.54545455
Gabon,Morocco,0,1,108.3636364,37.81818182,405.6363636,616.3636364,3,9,2002,African Cup of Nations qualification,70.54545455,-70.54545455
Greece,Spain,0,2,51.81818182,5.090909091,558,752.0909091,6,3,2002,UEFA Euro qualification,46.72727273,-46.72727273
Iceland,Hungary,0,2,54.90909091,64.45454545,548.0909091,526.6363636,4,5,2002,Friendly,-9.545454545,9.545454545
Jordan,Iraq,2,3,93.54545455,62.72727273,448,530.0909091,7,11,2002,WAFF Championship,30.81818182,-30.81818182
Kenya,Togo,3,0,97.72727273,73.45454545,436.8181818,503.0909091,10,8,2002,African Cup of Nations qualification,24.27272727,-24.27272727
South Korea,North Korea,0,0,0,0,0,0,12,6,2002,Friendly,0,0
Latvia,Sweden,0,0,97.81818182,20.09090909,437.2727273,667.1818182,6,9,2002,UEFA Euro qualification,77.72727273,-77.72727273
Lithuania,Germany,0,2,98.81818182,7.545454545,431.6363636,736.2727273,4,6,2002,UEFA Euro qualification,91.27272727,-91.27272727
Namibia,Algeria,0,1,109.7272727,74.63636364,400.5454545,501.0909091,5,7,2002,African Cup of Nations qualification,35.09090909,-35.09090909
Netherlands,Belarus,3,0,9.909090909,82.09090909,715.0909091,478.6363636,4,4,2002,UEFA Euro qualification,-72.18181818,72.18181818
Niger,Ethiopia,3,1,190.0909091,135.6363636,82.09090909,307.9090909,0,2,2002,African Cup of Nations qualification,54.45454545,-54.45454545
Norway,Denmark,2,2,31.18181818,15.72727273,636.3636364,686.9090909,5,4,2002,UEFA Euro qualification,15.45454545,-15.45454545
Russia,Republic of Ireland,4,2,24.72727273,15.63636364,651.6363636,686.2727273,5,4,2002,UEFA Euro qualification,9.090909091,-9.090909091
San Marino,Poland,0,2,159.5454545,35.45454545,202.1818182,625.1818182,2,6,2002,UEFA Euro qualification,124.0909091,-124.0909091
Slovenia,Malta,3,0,30.90909091,121.8181818,638.0909091,354.4545455,7,4,2002,UEFA Euro qualification,-90.90909091,90.90909091
Syria,Iran,2,2,92.18181818,0,448.7272727,0,5,10,2002,WAFF Championship,92.18181818,-92.18181818
Turkey,Slovakia,3,0,15.90909091,48.36363636,691.1818182,570.2727273,6,7,2002,UEFA Euro qualification,-32.45454545,32.45454545
Uganda,Ghana,1,0,113.5454545,57.54545455,380.6363636,542.9090909,5,9,2002,African Cup of Nations qualification,56,-56
Angola,Nigeria,0,0,62,30,531.3636364,637.2727273,8,8,2002,African Cup of Nations qualification,32,-32
Benin,Tanzania,4,0,147.8181818,150.7272727,251.9090909,240,4,2,2002,African Cup of Nations qualification,-2.909090909,2.909090909
Congo,Burkina Faso,0,0,97,77.09090909,435.3636364,495.1818182,6,9,2002,African Cup of Nations qualification,19.90909091,-19.90909091
Equatorial Guinea,Sierra Leone,1,3,190.9090909,140.9090909,77.63636364,285.3636364,0,2,2002,African Cup of Nations qualification,50,-50
Guinea,Liberia,3,0,112.2727273,79.45454545,391.2727273,489.6363636,2,8,2002,African Cup of Nations qualification,32.81818182,-32.81818182
Ivory Coast,South Africa,0,0,0,33.27272727,0,631.7272727,5,7,2002,African Cup of Nations qualification,-33.27272727,33.27272727
Lesotho,Senegal,0,1,134.9090909,38.45454545,313.4545455,614.3636364,6,7,2002,African Cup of Nations qualification,96.45454545,-96.45454545
Libya,DR Congo,3,2,112.1818182,0,387.3636364,0,5,6,2002,African Cup of Nations qualification,112.1818182,-112.1818182
Liechtenstein,North Macedonia,1,1,149.7272727,89.18181818,245.0909091,458.6363636,4,7,2002,UEFA Euro qualification,60.54545455,-60.54545455
Seychelles,Eritrea,1,0,190.9090909,167.4545455,79.18181818,183.4545455,0,3,2002,African Cup of Nations qualification,23.45454545,-23.45454545
Sudan,Zambia,0,1,115.6363636,64.90909091,375.3636364,523.0909091,5,11,2002,African Cup of Nations qualification,50.72727273,-50.72727273
Switzerland,Georgia,4,1,58.27272727,65.36363636,543.2727273,522.5454545,5,3,2002,UEFA Euro qualification,-7.090909091,7.090909091
Zimbabwe,Mali,1,0,62.36363636,86.09090909,532.0909091,469,5,3,2002,African Cup of Nations qualification,-23.72727273,23.72727273
Central African Republic,Mozambique,1,1,181.3636364,127.3636364,113.1818182,335.2727273,0,2,2002,African Cup of Nations qualification,54,-54
Iran,Morocco,1,1,0,37.81818182,0,616.3636364,10,9,2002,Friendly,-37.81818182,37.81818182
Ivory Coast,Gambia,5,0,0,150.7272727,0,242.4545455,5,3,2002,Friendly,-150.7272727,150.7272727
Iran,Paraguay,1,1,0,16.63636364,0,680.9090909,10,8,2002,Friendly,-16.63636364,16.63636364
Malawi,South Africa,1,3,110.4545455,33.27272727,388.6363636,631.7272727,5,7,2002,COSAFA Cup,77.18181818,-77.18181818
Algeria,Uganda,1,1,74.63636364,113.5454545,501.0909091,380.6363636,8,6,2002,Friendly,-38.90909091,38.90909091
Oman,United Arab Emirates,2,1,91.90909091,67.72727273,449.1818182,518.1818182,21,11,2002,Friendly,24.18181818,-24.18181818
Mauritius,Seychelles,1,0,126.9090909,190.9090909,336.2727273,79.18181818,1,0,2002,Friendly,-64,64
South Africa,Malawi,1,0,33.27272727,110.4545455,631.7272727,388.6363636,5,5,2002,COSAFA Cup,-77.18181818,77.18181818
Zimbabwe,Zambia,0,0,62.36363636,64.90909091,532.0909091,523.0909091,5,11,2002,Friendly,-2.545454545,2.545454545
Mali,Mauritania,2,1,86.09090909,178.8181818,469,135.5454545,11,3,2002,Friendly,-92.72727273,92.72727273
Morocco,Niger,6,1,37.81818182,190.0909091,616.3636364,82.09090909,7,0,2002,Friendly,-152.2727273,152.2727273
Mali,Mauritania,2,0,86.09090909,178.8181818,469,135.5454545,11,3,2002,Friendly,-92.72727273,92.72727273
Barbados,Saint Lucia,3,2,107.9090909,0,405.9090909,0,3,8,2002,Friendly,107.9090909,-107.9090909
Eswatini,Lesotho,0,0,0,134.9090909,0,313.4545455,4,6,2002,Friendly,-134.9090909,134.9090909
Ghana,Lesotho,2,1,57.54545455,134.9090909,542.9090909,313.4545455,4,6,2002,Friendly,-77.36363636,77.36363636
Martinique,Saint Lucia,4,0,0,0,0,0,7,8,2002,Friendly,0,0
Algeria,Chad,4,1,74.63636364,174.9090909,501.0909091,152.1818182,8,0,2002,African Cup of Nations qualification,-100.2727273,100.2727273
Bosnia and Herzegovina,Germany,1,1,76.63636364,7.545454545,495.9090909,736.2727273,10,6,2002,Friendly,69.09090909,-69.09090909
Albania,Switzerland,1,1,94.81818182,58.27272727,440.2727273,543.2727273,3,5,2002,UEFA Euro qualification,36.54545455,-36.54545455
Andorra,Belgium,0,1,140.6363636,19.63636364,285.8181818,671.2727273,3,6,2002,UEFA Euro qualification,121,-121
Belarus,Austria,0,2,82.09090909,57.09090909,478.6363636,544.0909091,3,5,2002,UEFA Euro qualification,25,-25
Bulgaria,Croatia,2,0,49.81818182,26.54545455,564.3636364,648.3636364,4,6,2002,UEFA Euro qualification,23.27272727,-23.27272727
Denmark,Luxembourg,2,0,15.72727273,146.3636364,686.9090909,256.8181818,6,4,2002,UEFA Euro qualification,-130.6363636,130.6363636
Eritrea,Zimbabwe,0,1,167.4545455,62.36363636,183.4545455,532.0909091,1,8,2002,African Cup of Nations qualification,105.0909091,-105.0909091
Finland,Azerbaijan,3,0,43.27272727,113.3636364,590.2727273,382.0909091,3,5,2002,UEFA Euro qualification,-70.09090909,70.09090909
France,Slovenia,5,0,1.818181818,30.90909091,794,638.0909091,7,5,2002,UEFA Euro qualification,-29.09090909,29.09090909
Iceland,Scotland,0,2,54.90909091,55.54545455,548.0909091,548.8181818,4,2,2002,UEFA Euro qualification,-0.636363636,0.636363636
Italy,Serbia,1,1,8.363636364,0,720.0909091,0,5,8,2002,UEFA Euro qualification,8.363636364,-8.363636364
Lithuania,Faroe Islands,2,0,98.81818182,117.6363636,431.6363636,371.4545455,4,5,2002,UEFA Euro qualification,-18.81818182,18.81818182
North Macedonia,Turkey,1,2,89.18181818,15.90909091,458.6363636,691.1818182,6,6,2002,UEFA Euro qualification,73.27272727,-73.27272727
Malawi,Angola,1,0,110.4545455,62,388.6363636,531.3636364,5,8,2002,African Cup of Nations qualification,48.45454545,-48.45454545
Malta,Israel,0,2,121.8181818,50.54545455,354.4545455,560.9090909,6,5,2002,UEFA Euro qualification,71.27272727,-71.27272727
Mauritius,Madagascar,0,1,126.9090909,114.5454545,336.2727273,377.3636364,1,5,2002,African Cup of Nations qualification,12.36363636,-12.36363636
Moldova,Czech Republic,0,2,105.7272727,16.09090909,413.1818182,681.8181818,4,5,2002,UEFA Euro qualification,89.63636364,-89.63636364
Poland,Latvia,0,1,35.45454545,97.81818182,625.1818182,437.2727273,5,4,2002,UEFA Euro qualification,-62.36363636,62.36363636
Portugal,Tunisia,1,1,7.727272727,34.54545455,724.2727273,622.9090909,6,6,2002,Friendly,-26.81818182,26.81818182
Romania,Norway,0,1,20.18181818,31.18181818,665.9090909,636.3636364,8,6,2002,UEFA Euro qualification,-11,11
Senegal,Nigeria,2,2,38.45454545,30,614.3636364,637.2727273,7,8,2002,Friendly,8.454545455,-8.454545455
Sierra Leone,Gabon,2,0,140.9090909,108.3636364,285.3636364,405.6363636,5,2,2002,African Cup of Nations qualification,32.54545455,-32.54545455
Slovakia,England,1,2,48.36363636,8.909090909,570.2727273,717.2727273,4,3,2002,UEFA Euro qualification,39.45454545,-39.45454545
Spain,Northern Ireland,3,0,5.090909091,93.81818182,752.0909091,443.8181818,6,4,2002,UEFA Euro qualification,-88.72727273,88.72727273
Sweden,Hungary,1,1,20.09090909,64.45454545,667.1818182,526.6363636,8,5,2002,UEFA Euro qualification,-44.36363636,44.36363636
Tanzania,Sudan,1,2,150.7272727,115.6363636,240,375.3636364,3,7,2002,African Cup of Nations qualification,35.09090909,-35.09090909
Ukraine,Greece,2,0,44.90909091,51.81818182,584.8181818,558,5,4,2002,UEFA Euro qualification,-6.909090909,6.909090909
Zambia,Benin,1,1,64.90909091,147.8181818,523.0909091,251.9090909,6,1,2002,African Cup of Nations qualification,-82.90909091,82.90909091
DR Congo,Botswana,2,0,0,137.9090909,0,298.5454545,6,0,2002,African Cup of Nations qualification,-137.9090909,137.9090909
Estonia,New Zealand,3,2,76.54545455,69.09090909,491.9090909,511,6,2,2002,Friendly,7.454545455,-7.454545455
Ethiopia,Guinea,1,0,135.6363636,112.2727273,307.9090909,391.2727273,3,1,2002,African Cup of Nations qualification,23.36363636,-23.36363636
Ghana,Rwanda,4,2,57.54545455,131.6363636,542.9090909,322.2727273,4,0,2002,African Cup of Nations qualification,-74.09090909,74.09090909
Mali,Seychelles,3,0,86.09090909,190.9090909,469,79.18181818,11,0,2002,African Cup of Nations qualification,-104.8181818,104.8181818
Morocco,Equatorial Guinea,5,0,37.81818182,190.9090909,616.3636364,77.63636364,7,0,2002,African Cup of Nations qualification,-153.0909091,153.0909091
Mozambique,Congo,0,3,127.3636364,97,335.2727273,435.3636364,2,4,2002,African Cup of Nations qualification,30.36363636,-30.36363636
Eswatini,Libya,2,1,0,112.1818182,0,387.3636364,4,6,2002,African Cup of Nations qualification,-112.1818182,112.1818182
Scotland,Canada,3,1,55.54545455,73.27272727,548.8181818,502,4,4,2002,Friendly,-17.72727273,17.72727273
Austria,Netherlands,0,3,57.09090909,9.909090909,544.0909091,715.0909091,5,6,2002,UEFA Euro qualification,47.18181818,-47.18181818
Bulgaria,Andorra,2,1,49.81818182,140.6363636,564.3636364,285.8181818,4,3,2002,UEFA Euro qualification,-90.81818182,90.81818182
Costa Rica,Ecuador,1,1,26.18181818,33.81818182,648.7272727,629.8181818,9,8,2002,Friendly,-7.636363636,7.636363636
Czech Republic,Belarus,2,0,16.09090909,82.09090909,681.8181818,478.6363636,7,4,2002,UEFA Euro qualification,-66,66
England,North Macedonia,2,2,8.909090909,89.18181818,717.2727273,458.6363636,7,7,2002,UEFA Euro qualification,-80.27272727,80.27272727
Estonia,Belgium,0,1,76.54545455,19.63636364,491.9090909,671.2727273,6,6,2002,UEFA Euro qualification,56.90909091,-56.90909091
Germany,Faroe Islands,2,1,7.545454545,117.6363636,736.2727273,371.4545455,5,5,2002,UEFA Euro qualification,-110.0909091,110.0909091
Greece,Armenia,2,0,51.81818182,100.4545455,558,426.7272727,6,3,2002,UEFA Euro qualification,-48.63636364,48.63636364
Hungary,San Marino,3,0,64.45454545,159.5454545,526.6363636,202.1818182,6,4,2002,UEFA Euro qualification,-95.09090909,95.09090909
Iceland,Lithuania,3,0,54.90909091,98.81818182,548.0909091,431.6363636,4,6,2002,UEFA Euro qualification,-43.90909091,43.90909091
Republic of Ireland,Switzerland,1,2,15.63636364,58.27272727,686.2727273,543.2727273,6,5,2002,UEFA Euro qualification,-42.63636364,42.63636364
Japan,Jamaica,1,1,29.18181818,56,641.6363636,547.5454545,11,11,2002,Friendly,-26.81818182,26.81818182
Luxembourg,Romania,0,7,146.3636364,20.18181818,256.8181818,665.9090909,5,7,2002,UEFA Euro qualification,126.1818182,-126.1818182
Malta,France,0,4,121.8181818,1.818181818,354.4545455,794,6,6,2002,UEFA Euro qualification,120,-120
Northern Ireland,Ukraine,0,0,93.81818182,44.90909091,443.8181818,584.8181818,4,8,2002,UEFA Euro qualification,48.90909091,-48.90909091
Norway,Bosnia and Herzegovina,2,0,31.18181818,76.63636364,636.3636364,495.9090909,5,7,2002,UEFA Euro qualification,-45.45454545,45.45454545
Poland,New Zealand,2,0,35.45454545,69.09090909,625.1818182,511,5,2,2002,Friendly,-33.63636364,33.63636364
Russia,Albania,4,1,24.72727273,94.81818182,651.6363636,440.2727273,5,4,2002,UEFA Euro qualification,-70.09090909,70.09090909
Serbia,Finland,2,0,0,43.27272727,0,590.2727273,8,10,2002,UEFA Euro qualification,-43.27272727,43.27272727
Spain,Paraguay,0,0,5.090909091,16.63636364,752.0909091,680.9090909,6,8,2002,Friendly,-11.54545455,11.54545455
Sweden,Portugal,2,3,20.09090909,7.727272727,667.1818182,724.2727273,8,4,2002,Friendly,12.36363636,-12.36363636
Turkey,Liechtenstein,5,0,15.90909091,149.7272727,691.1818182,245.0909091,6,3,2002,UEFA Euro qualification,-133.8181818,133.8181818
Wales,Italy,2,1,83.81818182,8.363636364,470.4545455,720.0909091,4,4,2002,UEFA Euro qualification,75.45454545,-75.45454545
French Guiana,Suriname,1,1,0,143.9090909,0,269.9090909,0,2,2002,Friendly,-143.9090909,143.9090909
French Guiana,Suriname,0,1,0,143.9090909,0,269.9090909,0,2,2002,Friendly,-143.9090909,143.9090909
Sierra Leone,Ghana,2,1,140.9090909,57.54545455,285.3636364,542.9090909,5,9,2002,Friendly,83.36363636,-83.36363636
Venezuela,Ecuador,2,0,80.27272727,33.81818182,487,629.8181818,4,8,2002,Friendly,46.45454545,-46.45454545
Kenya,South Africa,1,1,97.72727273,33.27272727,436.8181818,631.7272727,10,7,2002,Friendly,64.45454545,-64.45454545
Tanzania,Uganda,0,2,150.7272727,113.5454545,240,380.6363636,3,6,2002,Friendly,37.18181818,-37.18181818
Kenya,Uganda,1,1,97.72727273,113.5454545,436.8181818,380.6363636,10,6,2002,Friendly,-15.81818182,15.81818182
Tanzania,South Africa,1,1,150.7272727,33.27272727,240,631.7272727,3,7,2002,Friendly,117.4545455,-117.4545455
Jersey,Kernow,0,3,0,0,0,0,2,0,2002,Friendly,0,0
Martinique,Saint Kitts and Nevis,2,1,0,0,0,0,7,3,2002,Friendly,0,0
Saint Lucia,Martinique,0,2,0,0,0,0,3,5,2002,Friendly,0,0
Saint Lucia,Antigua and Barbuda,2,1,0,158.5454545,0,206.5454545,3,0,2002,Friendly,-158.5454545,158.5454545
Barbados,Jamaica,1,1,107.9090909,56,405.9090909,547.5454545,3,11,2002,Gold Cup qualification,51.90909091,-51.90909091
Grenada,Guadeloupe,4,5,135.0909091,0,311.0909091,0,6,2,2002,Gold Cup qualification,135.0909091,-135.0909091
Singapore,Indonesia,1,1,115.7272727,96.36363636,376.6363636,435,7,3,2002,Friendly,19.36363636,-19.36363636
Grenada,Barbados,0,2,135.0909091,107.9090909,311.0909091,405.9090909,6,3,2002,Gold Cup qualification,27.18181818,-27.18181818
Jamaica,Guadeloupe,2,0,56,0,547.5454545,0,8,2,2002,Gold Cup qualification,56,-56
Barbados,Guadeloupe,0,1,107.9090909,0,405.9090909,0,3,2,2002,Gold Cup qualification,107.9090909,-107.9090909
Grenada,Jamaica,1,4,135.0909091,56,311.0909091,547.5454545,6,11,2002,Gold Cup qualification,79.09090909,-79.09090909
Saint Kitts and Nevis,Saint Lucia,2,1,0,0,0,0,6,8,2002,Gold Cup qualification,0,0
Trinidad and Tobago,Saint Kitts and Nevis,2,0,39.72727273,0,601.6363636,0,12,3,2002,Gold Cup qualification,39.72727273,-39.72727273
Cayman Islands,Nicaragua,0,1,168.0909091,189.1818182,182.0909091,86.45454545,2,5,2002,Friendly,-21.09090909,21.09090909
Trinidad and Tobago,Saint Lucia,0,1,39.72727273,0,601.6363636,0,12,8,2002,Gold Cup qualification,39.72727273,-39.72727273
United States,El Salvador,2,0,0,88.54545455,0,457.7272727,9,5,2002,Friendly,-88.54545455,88.54545455
Haiti,Antigua and Barbuda,1,0,82.27272727,158.5454545,485,206.5454545,9,0,2002,Gold Cup qualification,-76.27272727,76.27272727
South Africa,Senegal,1,1,33.27272727,38.45454545,631.7272727,614.3636364,5,7,2002,Friendly,-5.181818182,5.181818182
Antigua and Barbuda,Curaçao,1,1,158.5454545,0,206.5454545,0,4,0,2002,Gold Cup qualification,158.5454545,-158.5454545
Austria,Norway,0,1,57.09090909,31.18181818,544.0909091,636.3636364,5,6,2002,Friendly,25.90909091,-25.90909091
Azerbaijan,Wales,0,2,113.3636364,83.81818182,382.0909091,470.4545455,4,3,2002,UEFA Euro qualification,29.54545455,-29.54545455
Cyprus,Malta,2,1,82.27272727,121.8181818,484.4545455,354.4545455,5,4,2002,UEFA Euro qualification,-39.54545455,39.54545455
Czech Republic,Sweden,3,3,16.09090909,20.09090909,681.8181818,667.1818182,7,9,2002,Friendly,-4,4
Denmark,Poland,2,0,15.72727273,35.45454545,686.9090909,625.1818182,6,6,2002,Friendly,-19.72727273,19.72727273
Ecuador,Costa Rica,2,2,33.81818182,26.18181818,629.8181818,648.7272727,6,11,2002,Friendly,7.636363636,-7.636363636
Estonia,Iceland,2,0,76.54545455,54.90909091,491.9090909,548.0909091,6,6,2002,Friendly,21.63636364,-21.63636364
France,Serbia,3,0,1.818181818,0,794,0,7,8,2002,Friendly,1.818181818,-1.818181818
Germany,Netherlands,1,3,7.545454545,9.909090909,736.2727273,715.0909091,5,6,2002,Friendly,-2.363636364,2.363636364
Greece,Republic of Ireland,0,0,51.81818182,15.63636364,558,686.2727273,6,4,2002,Friendly,36.18181818,-36.18181818
Honduras,Colombia,1,0,32.90909091,14,624.2727273,697.7272727,14,6,2002,Friendly,18.90909091,-18.90909091
Hungary,Moldova,1,1,64.45454545,105.7272727,526.6363636,413.1818182,6,6,2002,Friendly,-41.27272727,41.27272727
Italy,Turkey,1,1,8.363636364,15.90909091,720.0909091,691.1818182,5,6,2002,Friendly,-7.545454545,7.545454545
Japan,Argentina,0,2,29.18181818,3.272727273,641.6363636,775.7272727,11,5,2002,Friendly,25.90909091,-25.90909091
South Korea,Brazil,2,3,0,1.727272727,0,825.4545455,12,10,2002,Friendly,-1.727272727,1.727272727
Luxembourg,Cape Verde,0,0,146.3636364,0,256.8181818,0,5,1,2002,Friendly,146.3636364,-146.3636364
North Macedonia,Israel,2,3,89.18181818,50.54545455,458.6363636,560.9090909,6,5,2002,Friendly,38.63636364,-38.63636364
Morocco,Mali,1,3,37.81818182,86.09090909,616.3636364,469,7,3,2002,Friendly,-48.27272727,48.27272727
Nigeria,Jamaica,0,0,30,56,637.2727273,547.5454545,5,11,2002,Friendly,-26,26
Portugal,Scotland,2,0,7.727272727,55.54545455,724.2727273,548.8181818,6,2,2002,Friendly,-47.81818182,47.81818182
Qatar,Iraq,2,1,72.09090909,62.72727273,506.2727273,530.0909091,13,11,2002,Friendly,9.363636364,-9.363636364
Romania,Croatia,0,1,20.18181818,26.54545455,665.9090909,648.3636364,8,6,2002,Friendly,-6.363636364,6.363636364
San Marino,Latvia,0,1,159.5454545,97.81818182,202.1818182,437.2727273,2,4,2002,UEFA Euro qualification,61.72727273,-61.72727273
Slovakia,Ukraine,1,1,48.36363636,44.90909091,570.2727273,584.8181818,4,8,2002,Friendly,3.454545455,-3.454545455
Spain,Bulgaria,1,0,5.090909091,49.81818182,752.0909091,564.3636364,6,8,2002,Friendly,-44.72727273,44.72727273
Tunisia,Egypt,0,0,34.54545455,41.09090909,622.9090909,596.3636364,6,9,2002,Friendly,-6.545454545,6.545454545
Venezuela,Uruguay,1,0,80.27272727,23.54545455,487,656.5454545,4,9,2002,Friendly,56.72727273,-56.72727273
Haiti,Curaçao,3,0,82.27272727,0,485,0,9,0,2002,Gold Cup qualification,82.27272727,-82.27272727
Bahrain,Iraq,2,2,106.4545455,62.72727273,408.3636364,530.0909091,12,11,2002,Friendly,43.72727273,-43.72727273
Monaco,Vatican City,0,0,0,0,0,0,1,0,2002,Friendly,0,0
Nigeria,Egypt,1,1,30,41.09090909,637.2727273,596.3636364,5,9,2002,Friendly,-11.09090909,11.09090909
Cayman Islands,Cuba,0,5,168.0909091,80.45454545,182.0909091,488.5454545,2,8,2002,Gold Cup qualification,87.63636364,-87.63636364
Martinique,Dominican Republic,4,0,0,158.1818182,0,208.2727273,7,2,2002,Gold Cup qualification,-158.1818182,158.1818182
Sri Lanka,Vietnam,1,2,142.6363636,110,276.7272727,402.4545455,3,4,2002,Friendly,32.63636364,-32.63636364
Cayman Islands,Dominican Republic,1,0,168.0909091,158.1818182,182.0909091,208.2727273,2,2,2002,Gold Cup qualification,9.909090909,-9.909090909
Jordan,Malaysia,1,0,93.54545455,116.3636364,448,371.6363636,7,8,2002,Friendly,-22.81818182,22.81818182
Martinique,Cuba,1,2,0,80.45454545,0,488.5454545,7,8,2002,Gold Cup qualification,-80.45454545,80.45454545
Sri Lanka,Vietnam,1,1,142.6363636,110,276.7272727,402.4545455,3,4,2002,Friendly,32.63636364,-32.63636364
Jordan,Singapore,3,1,93.54545455,115.7272727,448,376.6363636,7,3,2002,Friendly,-22.18181818,22.18181818
Rwanda,Zanzibar,1,0,131.6363636,0,322.2727273,0,5,1,2002,CECAFA Cup,131.6363636,-131.6363636
Tanzania,Kenya,1,0,150.7272727,97.72727273,240,436.8181818,3,3,2002,CECAFA Cup,53,-53
Burundi,Eritrea,1,1,131.1818182,167.4545455,321.7272727,183.4545455,4,3,2002,CECAFA Cup,-36.27272727,36.27272727
Cayman Islands,Martinique,0,3,168.0909091,0,182.0909091,0,2,5,2002,Gold Cup qualification,168.0909091,-168.0909091
Dominican Republic,Cuba,1,2,158.1818182,80.45454545,208.2727273,488.5454545,0,8,2002,Gold Cup qualification,77.72727273,-77.72727273
Somalia,Uganda,0,2,193.9090909,113.5454545,67.63636364,380.6363636,0,6,2002,CECAFA Cup,80.36363636,-80.36363636
Sri Lanka,Vietnam,2,2,142.6363636,110,276.7272727,402.4545455,3,4,2002,Friendly,32.63636364,-32.63636364
Ethiopia,Zanzibar,0,0,135.6363636,0,307.9090909,0,3,1,2002,CECAFA Cup,135.6363636,-135.6363636
Tanzania,Sudan,1,1,150.7272727,115.6363636,240,375.3636364,3,7,2002,CECAFA Cup,35.09090909,-35.09090909
Kenya,Burundi,1,1,97.72727273,131.1818182,436.8181818,321.7272727,10,4,2002,CECAFA Cup,-33.45454545,33.45454545
Somalia,Rwanda,0,1,193.9090909,131.6363636,67.63636364,322.2727273,0,0,2002,CECAFA Cup,62.27272727,-62.27272727
Eritrea,Sudan,2,1,167.4545455,115.6363636,183.4545455,375.3636364,1,7,2002,CECAFA Cup,51.81818182,-51.81818182
Uganda,Ethiopia,3,0,113.5454545,135.6363636,380.6363636,307.9090909,5,2,2002,CECAFA Cup,-22.09090909,22.09090909
Tanzania,Burundi,2,0,150.7272727,131.1818182,240,321.7272727,3,4,2002,CECAFA Cup,19.54545455,-19.54545455
Zanzibar,Somalia,1,0,0,193.9090909,0,67.63636364,0,3,2002,CECAFA Cup,-193.9090909,193.9090909
Kenya,Eritrea,4,1,97.72727273,167.4545455,436.8181818,183.4545455,10,3,2002,CECAFA Cup,-69.72727273,69.72727273
Uganda,Rwanda,2,1,113.5454545,131.6363636,380.6363636,322.2727273,5,0,2002,CECAFA Cup,-18.09090909,18.09090909
Bahrain,Jordan,0,3,106.4545455,93.54545455,408.3636364,448,12,4,2002,Prime Minister's Cup,12.90909091,-12.90909091
China PR,Syria,3,1,55.54545455,92.18181818,544.8181818,448.7272727,13,8,2002,Prime Minister's Cup,-36.63636364,36.63636364
Ethiopia,Somalia,0,1,135.6363636,193.9090909,307.9090909,67.63636364,3,3,2002,CECAFA Cup,-58.27272727,58.27272727
Sudan,Burundi,2,1,115.6363636,131.1818182,375.3636364,321.7272727,5,4,2002,CECAFA Cup,-15.54545455,15.54545455
Tanzania,Eritrea,1,1,150.7272727,167.4545455,240,183.4545455,3,3,2002,CECAFA Cup,-16.72727273,16.72727273
Thailand,Vietnam,2,1,64.09090909,110,526.5454545,402.4545455,16,4,2002,Friendly,-45.90909091,45.90909091
Zanzibar,Uganda,0,2,0,113.5454545,0,380.6363636,0,6,2002,CECAFA Cup,-113.5454545,113.5454545
Bahrain,Syria,2,3,106.4545455,92.18181818,408.3636364,448.7272727,12,8,2002,Prime Minister's Cup,14.27272727,-14.27272727
China PR,Jordan,0,0,55.54545455,93.54545455,544.8181818,448,13,4,2002,Prime Minister's Cup,-38,38
Rwanda,Ethiopia,1,0,131.6363636,135.6363636,322.2727273,307.9090909,5,2,2002,CECAFA Cup,-4,4
Sudan,Kenya,0,1,115.6363636,97.72727273,375.3636364,436.8181818,5,3,2002,CECAFA Cup,17.90909091,-17.90909091
Chile,Palestine,3,1,53.45454545,148.5454545,555.9090909,242.0909091,10,3,2002,Friendly,-95.09090909,95.09090909
Malaysia,Cambodia,5,0,116.3636364,172.5454545,371.6363636,168.2727273,4,4,2002,Friendly,-56.18181818,56.18181818
Singapore,Philippines,2,0,115.7272727,177,376.6363636,139.1818182,7,6,2002,Friendly,-61.27272727,61.27272727
Tanzania,Rwanda,3,0,150.7272727,131.6363636,240,322.2727273,3,0,2002,CECAFA Cup,19.09090909,-19.09090909
Bahrain,China PR,2,2,106.4545455,55.54545455,408.3636364,544.8181818,12,10,2002,Prime Minister's Cup,50.90909091,-50.90909091
Jordan,Syria,3,0,93.54545455,92.18181818,448,448.7272727,7,8,2002,Prime Minister's Cup,1.363636364,-1.363636364
Uganda,Kenya,1,3,113.5454545,97.72727273,380.6363636,436.8181818,5,3,2002,CECAFA Cup,15.81818182,-15.81818182
Saudi Arabia,Lebanon,1,1,35.81818182,100.8181818,621.4545455,424.5454545,17,3,2002,Friendly,-65,65
Botswana,Zambia,1,0,137.9090909,64.90909091,298.5454545,523.0909091,7,11,2002,Friendly,73,-73
